id,name,meal_type,base_servings,steps,tags
33,Jajecznica z pieczarkami i feta,sniadanie,1,Pokroj pieczarki w plastry||Rozgrzej maslo i podsmaz cebule 2 min||Dodaj pieczarki i smaz 5 min||Wbij jajka i mieszaj 2 min||Dodaj pokruszona fete||Dopraw sola i pieprzem||Posyp natka pietruszki,wytrawne|na_cieplo
34,Placuszki owsiane ze skyrem i malinami,sniadanie,2,Wymieszaj platki owsiane z jajkami skyrem i proszkiem do pieczenia||Odstaw 5 min||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z malinami||Polej miodem,na_slodko|fit
35,Tosty z awokado pomidorem i mozzarella,sniadanie,1,Rozgniec awokado i dodaj sok z cytryny||Dopraw sola i pieprzem||Posmaruj tosty pasta z awokado||Uloz pomidora i mozzarella||Zapiecz 5 min w 200C||Podaj od razu,szybkie|wytrawne
36,Salatka z twarogiem rukola i pestkami dyni,sniadanie,2,Pokroj pomidora i ogorka w kostke||Przeloz do miski i dodaj rukole||Dodaj twarog i pestki dyni||Wymieszaj olej z sokiem z cytryny||Dopraw sola i pieprzem||Polej sosem i wymieszaj,fit|wytrawne
37,Muffiny jajeczne ze szpinakiem i szynka,sniadanie,2,Nagrzej piekarnik do 190C||Podsmaz cebule na oleju 3 min||Dodaj szpinak i poddusz 2 min||Roztrzep jajka z sola pieprzem i papryka slodka||Dodaj szynke i starty ser||Wymieszaj z warzywami i przelej do foremek||Piecz 15 min i podaj,wytrawne|na_cieplo
38,Jogurt z gruszka i orzechami wloskimi,sniadanie,1,Pokroj gruszke w kostke||Wsyp jogurt do miski||Dodaj gruszke||Dodaj orzechy wloskie||Skrop miodem||Posyp cynamonem i podaj,szybkie|na_slodko
39,Jaglanka wytrawna z feta i szpinakiem,sniadanie,2,Przeplucz kasze jaglana||Wlej wode do garnka i dodaj kasze||Gotuj 15 min na malym ogniu||Podsmaz cebule na oleju 3 min||Dodaj szpinak i pomidora i dus 3 min||Wymieszaj kasze z warzywami||Dodaj fete i dopraw sola pieprzem i papryka slodka,wytrawne|sycace
40,Serek wiejski z pomidorem i szczypiorkiem,sniadanie,1,Pokroj pomidora w kostke||Przeloz serek wiejski do miski||Dodaj pomidora i szczypiorek||Dopraw sola i pieprzem||Podaj z chlebem pelnoziarnistym,szybkie|wysokobialkowe
41,Jajka sadzone z boczkiem i pomidorem,sniadanie,1,Pokroj pomidora w kostke||Rozgrzej patelnie i roztop maslo||Podsmaz boczek 3 min az sie zrumieni||Przesun boczek na bok i wbij jajka||Smaz 3-4 min do sciecia bialek||Dodaj pomidora na patelnie na 1 min||Dopraw sola i pieprzem i posyp natka pietruszki,wytrawne|na_cieplo
42,Kanapki z hummusem feta i pomidorem,sniadanie,2,Posmaruj chleb hummusem||Pokroj pomidora w plastry||Uloz pomidora i pokruszona fete||Dodaj rukole||Skrop sokiem z cytryny||Dopraw sola i pieprzem i podaj,szybkie|wytrawne
43,Owsianka z gruszka i orzechami,sniadanie,1,Wlej mleko do garnka i zagotuj||Wsyp platki owsiane i gotuj 5 min||Dodaj szczyptę soli i cynamon||Pokroj gruszke w kostke||Przeloz owsianke do miski||Dodaj gruszke i orzechy||Polej miodem i podaj,na_slodko|sycace
44,Pudding chia ze skyrem i borowkami,sniadanie,1,Wymieszaj chia z mlekiem||Odstaw na 10 min i wymieszaj ponownie||Wstaw do lodowki na 2 h||Przeloz do miski i dodaj skyr||Dodaj borowki||Polej miodem i dodaj wanilie,bez_pieczenia|na_slodko
45,Wrap z tofu scramble i pesto,sniadanie,2,Pokrusz tofu widelcem||Podsmaz cebule na oleju 3 min||Dodaj czosnek i kurkume||Dodaj tofu i smaz 5 min||Dodaj szpinak i dopraw sola i pieprzem||Podgrzej tortille||Posmaruj pesto i naloz tofu||Zwin i podaj,wytrawne|sycace
46,Zapiekane jajka z suszonymi pomidorami i mozzarella,sniadanie,1,Nagrzej piekarnik do 190C||Podsmaz cebule na oleju 3 min||Dodaj szpinak i poddusz 2 min||Przeloz do naczynka||Dodaj suszone pomidory i mozzarella||Wbij jajka||Piecz 10-12 min do sciecia bialek||Dopraw sola pieprzem i papryka slodka,wytrawne|na_cieplo
47,Kasza manna ze skyrem i truskawkami,sniadanie,1,Zagotuj mleko w garnku||Wsyp kasze manne i mieszaj 3 min||Dodaj szczyptę soli i wanilie||Przeloz do miski||Dodaj skyr i wymieszaj||Dodaj truskawki||Polej miodem i podaj,na_slodko|szybkie
48,Jaglanka z jablkiem i maslem orzechowym,sniadanie,1,Przeplucz kasze jaglana||Wlej mleko i wode do garnka||Dodaj kasze i gotuj 15 min||Zetrzyj jablko i dodaj do garnka||Dodaj cynamon i szczyptę soli||Przeloz do miski||Dodaj maslo orzechowe||Polej miodem i podaj,na_slodko|sycace
49,Serek wiejski z ogorkiem i koperkiem,sniadanie,1,Pokroj ogorka w kostke||Przeloz serek wiejski do miski||Dodaj ogorka i koperek||Dopraw sola i pieprzem||Skrop sokiem z cytryny||Podaj z chlebem pelnoziarnistym,szybkie|wysokobialkowe
50,Omlet z pesto mozzarella i pomidorem,sniadanie,1,Roztrzep jajka z sola i pieprzem||Rozgrzej patelnie z olejem||Wlej jajka i smaz 2 min||Posmaruj pesto na wierzchu||Dodaj mozzarella i pomidora||Przykryj i smaz 2 min az ser sie roztopi||Zloz omlet i podaj,wytrawne|szybkie
51,Owsianka czekoladowa z maslem orzechowym i bananem,sniadanie,1,Wlej mleko do garnka i zagotuj||Wsyp platki owsiane i gotuj 5 min mieszajac||Dodaj kakao cynamon i szczyptę soli||Przeloz do miski||Dodaj maslo orzechowe i plastry banana||Polej miodem i podaj,na_slodko|szybkie
52,Frittata z pieczarkami szpinakiem i feta,sniadanie,2,Nagrzej piekarnik do 190C||Podsmaz cebule na oleju 3 min||Dodaj pieczarki i smaz 5 min||Dodaj szpinak i dopraw||Roztrzep jajka i wlej na patelnie||Posyp feta i wstaw do piekarnika na 10 min||Posyp natka pietruszki i podaj,wytrawne|na_cieplo
53,Ryz na mleku z mango i chia,sniadanie,2,Przeplucz ryz na sicie||Wlej mleko i wode do garnka||Dodaj ryz i szczyptę soli||Gotuj 20 min na malym ogniu i mieszaj||Dodaj wanilie i miod||Podaj z mango w kostce||Posyp chia,na_slodko
54,Kanapki z pasta tunczykowa,sniadanie,2,Odcedz tunczyka i rozgniec widelcem||Dodaj jogurt kukurydze cebule i ogorka kiszonego||Skrop sokiem z cytryny i dopraw sola i pieprzem||Wymieszaj na jednolita paste||Posmaruj chleb pasta||Posyp natka pietruszki i podaj,szybkie|wytrawne
55,Placuszki jogurtowe z borowkami,sniadanie,2,W misce wymieszaj jogurt jajka i wanilie||Dodaj make proszek do pieczenia i szczyptę soli||Wmieszaj polowe borowek||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z reszta borowek i miodem,na_slodko|dla_dzieci
56,Twarozek na slodko z gruszka i orzechami,sniadanie,1,Pokroj gruszke w kostke||W misce rozgniec twarog||Dodaj jogurt miod i cynamon i wymieszaj||Dodaj gruszke i orzechy wloskie||Podaj od razu,na_slodko|wysokobialkowe
57,Zapiekane awokado z jajkiem i mozzarella,sniadanie,1,Przekroj awokado na pol i wyjmij pestke||Wydraz nieco miazszu aby zrobic miejsce na jajko||Uloz awokado w naczyniu||Wbij po jednym jajku do kazdej polowki||Posyp mozzarella||Piecz 12 min w 190C||Dopraw sola pieprzem i skrop cytryna,wytrawne|na_cieplo
58,Skyr z mango i pestkami dyni,sniadanie,1,Wsyp skyr do miski||Dodaj mango w kostce||Posyp pestkami dyni||Dodaj chia||Skrop miodem||Posyp cynamonem i podaj,bez_pieczenia|na_slodko
59,Omlet kakaowy z bananem,sniadanie,1,Roztrzep jajka z mlekiem i szczyptą soli||Dodaj make i kakao i wymieszaj||Rozgrzej patelnie i roztop maslo||Wlej mase i smaz 2 min||Uloz banana na polowie omletu||Zloz omlet i smaz 1 min||Polej miodem i podaj,na_slodko
60,Tortilla z jajkiem feta i warzywami,sniadanie,2,Pokroj papryke i cebule w kostke||Podsmaz na oleju 4 min||Dodaj szpinak i poddusz 2 min||Roztrzep jajka z sola pieprzem i papryka slodka||Wlej jajka na patelnie i smaz 2 min||Dodaj pokruszona fete||Zwin jajka w tortille||Podgrzej wrapy 1 min z kazdej strony,wytrawne|sycace
61,Kanapki z twarozkiem jajkiem i ogorkiem,sniadanie,2,Ugotuj jajka na twardo 8 min||Pokroj ogorka w plasterki||W misce wymieszaj twarog z jogurtem i koperkiem||Dopraw sola i pieprzem oraz skrop cytryna||Posmaruj chleb pasta||Pokroj jajka w plasterki i uloz na kanapkach||Dodaj ogorka i podaj,szybkie|wytrawne
62,Jogurt z granola i truskawkami,sniadanie,1,Wsyp jogurt do miski||Dodaj granole||Pokroj truskawki||Dodaj truskawki do miski||Polej miodem||Posyp chia i podaj,szybkie|na_slodko
63,Koktajl kefir banan mango,sniadanie,1,Obierz banana i mango||Wloz owoce do blendera||Dodaj kefir i miod||Blenduj 30 s do gladkosci||Dodaj cynamon i krotko zmiksuj||Przelej do szklanki i podaj,szybkie|na_slodko
64,Tosty z ricotta i truskawkami,sniadanie,1,Opiecz chleb tostowy||Posmaruj ricotta||Pokroj truskawki||Uloz truskawki na tostach||Skrop miodem||Posyp cynamonem i podaj,szybkie|na_slodko
65,Omlet ze skyrem i malinami,sniadanie,1,Roztrzep jajka w misce||Dodaj skyr i make i wymieszaj||Rozgrzej patelnie z odrobina oleju||Wlej mase i smaz 2 min||Dodaj maliny na wierzch||Przykryj i smaz 2 min||Zloz omlet i polej miodem,na_slodko|wysokobialkowe
66,Bowl z kasza gryczana pesto i mozzarella,sniadanie,2,Przeplucz kasze gryczana||Gotuj kasze w wodzie 15 min||Pokroj pomidora w kostke||Wymieszaj kasze z pesto||Dodaj pomidora i rukole||Dodaj mozzarella||Skrop olejem i dopraw sola i pieprzem,wytrawne|sycace
67,Kanapki z pasta z tunczyka i awokado,sniadanie,2,Odcedz tunczyka||Rozgniec awokado||Wymieszaj tunczyka z awokado i jogurtem||Dodaj cebule i sok z cytryny||Dopraw sola i pieprzem||Posmaruj chleb pasta||Posyp natka pietruszki i podaj,szybkie|wytrawne
68,Placuszki kefir z jablkiem,sniadanie,2,Zetrzyj jablko na tarce||W misce wymieszaj kefir jajka i make||Dodaj proszek do pieczenia cynamon i szczyptę soli||Wmieszaj jablko||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z miodem,na_slodko|dla_dzieci
69,Serek wiejski z kiwi i orzechami,sniadanie,1,Pokroj kiwi w kostke||Wsyp serek wiejski do miski||Dodaj kiwi||Dodaj orzechy wloskie||Polej miodem||Posyp chia i podaj,szybkie|na_slodko
70,Jaglanka kakaowa z rodzynkami,sniadanie,1,Przeplucz kasze jaglana||Wlej mleko i wode do garnka||Dodaj kasze i szczyptę soli||Gotuj 15 min mieszajac||Dodaj kakao i wanilie||Dodaj rodzynki i gotuj 1 min||Przeloz do miski i polej miodem,na_slodko|sycace
71,Hash browns z jajkiem sadzonym,sniadanie,1,Zetrzyj ziemniaki na tarce||Odciśnij ziemniaki i dodaj cebule||Dodaj 1 jajko sol i pieprz i wymieszaj||Rozgrzej olej i smaz placki 3 min z kazdej strony||Na tej samej patelni usmaz drugie jajko||Podaj hash browns z jajkiem na wierzchu,wytrawne|na_cieplo
72,Batatowe tosty z awokado i jajkiem,sniadanie,1,Pokroj batata w podluzne plastry||Podpiecz plastry w piekarniku 200C 20 min przewracajac w polowie||Rozgniec awokado z sokiem z cytryny||Dopraw pasta sola i pieprzem||Uloz batatowe tosty na talerzu||Usmaz jajka sadzone i poloz na tostach||Posyp szczypiorkiem i podaj,wytrawne|sycace
73,Owsianka kokosowa z mango i chia,sniadanie,1,Zagotuj mleko kokosowe w garnku||Wsyp platki owsiane i gotuj 5 min mieszajac||Dodaj szczyptę soli i wymieszaj||Przeloz do miski||Dodaj mango w kostce||Posyp chia i wiorkami kokosowymi||Skrop miodem i podaj,na_slodko|sycace
74,Placuszki makowe z twarogiem,sniadanie,2,Wymieszaj twarog z jajkami||Dodaj make proszek do pieczenia mak wanilie i sol||Wymieszaj na gestą mase||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z miodem,na_slodko|wysokobialkowe
75,Tosty z ricotta i dzemem,sniadanie,1,Opiecz chleb tostowy||Posmaruj ricotta||Dodaj dzem truskawkowy||Posyp cynamonem||Podaj od razu,szybkie|na_slodko
76,Kanapki z pstragiem i serkiem,sniadanie,2,Posmaruj chleb serkiem kanapkowym||Uloz pstraga na kanapkach||Dodaj ogorka w plasterkach||Skrop sokiem z cytryny||Posyp koperkiem||Dopraw pieprzem i podaj,szybkie|wytrawne
77,Salatka z burakiem feta i rukola,sniadanie,2,Pokroj buraki i ogorka w kostke||Przeloz do miski i dodaj rukole||Pokrusz fete i dodaj pestki dyni||Wymieszaj olej z sokiem z cytryny||Dopraw sola i pieprzem||Polej sosem i wymieszaj,fit|wytrawne
78,Pudding chia czekoladowy z bananem,sniadanie,1,Wymieszaj chia z mlekiem i kakao||Odstaw na 10 min i wymieszaj ponownie||Wstaw do lodowki na 2 h||Przeloz do miski||Dodaj maslo orzechowe||Dodaj banana w plasterkach||Skrop miodem i podaj,bez_pieczenia|na_slodko
79,Wrap z jajecznica i suszonymi pomidorami,sniadanie,2,Pokroj suszone pomidory w paski||Rozgrzej patelnie z olejem||Dodaj szpinak i poddusz 1 min||Wbij jajka i zrob jajecznice 2 min||Dodaj suszone pomidory i dopraw||Posyp serem i naloz na tortille||Zwin wrapy i podaj,wytrawne|na_cieplo
80,Nalesniki z mascarpone i truskawkami,sniadanie,2,Wymieszaj make jajka i mleko||Dodaj olej i wymieszaj||Rozgrzej patelnie i smaz cienkie nalesniki||Wymieszaj mascarpone z miodem i wanilia||Posmaruj nalesniki kremem||Dodaj truskawki||Zwin i podaj,na_slodko
81,Jaglanka kokosowa z bananem,sniadanie,1,Przeplucz kasze jaglana||Wlej mleko kokosowe i wode do garnka||Dodaj kasze i gotuj 15 min mieszajac||Dodaj szczyptę soli||Przeloz do miski||Dodaj banana i wiorki kokosowe||Skrop miodem i posyp cynamonem,na_slodko|sycace
82,Smoothie bowl kiwi mango,sniadanie,1,Zblenduj jogurt z mango i kiwi||Przeloz do miski||Posyp chia||Skrop miodem||Podaj od razu,szybkie|na_slodko
83,Omlet z pieczarkami i kozim serem,sniadanie,1,Pokroj pieczarki i cebule||Podsmaz cebule na oleju 2 min||Dodaj pieczarki i smaz 5 min||Roztrzep jajka z sola i pieprzem||Wlej jajka na patelnie||Posyp kozim serem||Przykryj 2 min i podaj,wytrawne|na_cieplo
84,Kanapki z hummusem i oliwkami,sniadanie,2,Posmaruj chleb hummusem||Pokroj pomidora w plastry||Dodaj rukole i oliwki||Skrop sokiem z cytryny||Dopraw sola i pieprzem||Podaj od razu,szybkie|wytrawne
85,Skyr z gruszka makiem i miodem,sniadanie,1,Wsyp skyr do miski||Dodaj gruszke w kostce||Posyp makiem||Dodaj cynamon||Skrop miodem i podaj,szybkie|na_slodko
86,Rosti ziemniaczane z sosem jogurtowym,sniadanie,2,Zetrzyj ziemniaki na tarce||Odciśnij ziemniaki i dodaj cebule||Dodaj jajko make sol i pieprz||Rozgrzej olej na patelni||Smaz rosti 4 min z kazdej strony||Wymieszaj jogurt z koperkiem||Dopraw sos sola i pieprzem||Podaj rosti z sosem,wytrawne|sycace
87,Owsianka z jablkiem suszonym i orzechami,sniadanie,1,Zagotuj mleko w garnku||Wsyp platki owsiane i gotuj 5 min||Dodaj jablko suszone i gotuj 2 min||Dodaj cynamon i szczyptę soli||Przeloz do miski||Dodaj orzechy i skrop miodem,na_slodko|sycace
88,Skyr tiramisu z espresso i kakao,sniadanie,1,Wymieszaj skyr z miodem||Wlej espresso do miski||Dodaj granole i wymieszaj||Przeloz do pucharka||Posyp kakao||Wstaw do lodowki na 15 min i podaj,szybkie|na_slodko
89,Kuskus z jogurtem mango i chia,sniadanie,1,Zalej kuskus goraca woda||Przykryj i odstaw 5 min||Rozdziel kuskus widelcem||Dodaj jogurt i wymieszaj||Dodaj mango w kostce||Posyp chia i skrop miodem,na_slodko|szybkie
90,Kanapki z kozim serem gruszka i miodem,sniadanie,1,Opiecz chleb na suchej patelni||Posmaruj kozim serem||Dodaj gruszke w plasterkach||Posyp orzechami||Skrop miodem||Posyp cynamonem i podaj,szybkie|na_slodko
91,Wrap tunczykowy z kukurydza i rukola,sniadanie,2,Odcedz tunczyka||Wymieszaj tunczyka z jogurtem i kukurydza||Dodaj cebule i sok z cytryny||Dopraw sola i pieprzem||Naloz paste na tortille i dodaj rukole||Zwin wrapy i podaj,szybkie|wytrawne
92,Zapiekane bataty z jajkiem i feta,sniadanie,1,Pokroj batata na grube plastry||Posmaruj olejem i piecz 200C 20 min||Na blaszce uloz szpinak||Poloz bataty na szpinaku||Wbij jajka obok batatow||Posyp feta i papryka slodka||Piecz 8 min do sciecia bialek i podaj,wytrawne|na_cieplo
93,Serek wiejski z granola i borowkami,sniadanie,1,Przeloz serek wiejski do miski||Dodaj granole||Dodaj borowki||Skrop miodem||Posyp chia i podaj,szybkie|na_slodko
94,Kanapki z pasta z fasoli i awokado,sniadanie,2,Odcedz fasole i rozgniec||Dodaj awokado i wymieszaj||Dodaj cebule czosnek sok z cytryny i kmin||Dopraw sola i pieprzem||Posmaruj chleb pasta||Podaj od razu,fit|wytrawne
95,Placuszki kokosowe ze skyrem,sniadanie,2,Wymieszaj skyr z jajkami||Dodaj make proszek do pieczenia wiorki kokosowe wanilie i sol||Wymieszaj na gestą mase||Rozgrzej patelnie z olejem||Smaz placuszki 2 min z kazdej strony||Podaj z miodem,na_slodko|wysokobialkowe
96,Jaglanka z makiem i rodzynkami,sniadanie,1,Przeplucz kasze jaglana||Wlej mleko i wode do garnka||Dodaj kasze i gotuj 15 min||Dodaj mak wanilie i szczyptę soli||Dodaj rodzynki i gotuj 1 min||Przeloz do miski i skrop miodem,na_slodko|sycace
97,Omlet caprese z mozzarella i pesto,sniadanie,1,Roztrzep jajka z sola i pieprzem||Rozgrzej patelnie z olejem||Wlej jajka i smaz 2 min||Dodaj mozzarella i pomidora||Dodaj pesto na wierzch||Przykryj 2 min i podaj,wytrawne|szybkie
98,Jajka na twardo z pasta z awokado,sniadanie,1,Ugotuj jajka na twardo 8 min||Obierz jajka i przekroj na pol||Rozgniec awokado z jogurtem||Dodaj ogorka kiszonego i sok z cytryny||Dopraw sola i pieprzem||Naloz paste na jajka i posyp szczypiorkiem,wytrawne|szybkie
